Amy Madigan,2
Liv Ullmann,2
Marsha Hunt,2
Paulette Goddard,2
Jack Carson,2
Erich von Stroheim,2
Greg Kinnear,2
Russ Tamblyn,2
Frederic Forrest,2
Luise Rainer,2
Lewis Stone,2
Whoopi Goldberg,2
James Craig,2
Julie Andrews,2
Talia Shire,2
Gene Kelly,2
Michael Douglas,2
Dennis Quaid,2
Ellen Page,2
Tilda Swinton,2
Domhnall Gleeson,2
Brenda Blethyn,2
Mark Ruffalo,2
Gary Sinise,2
Jason Bateman,2
Steve McQueen,2
Robert Newton,2
Peggy Ashcroft,2
Michael Keaton,2
Gene Tierney,2
Mark Rylance,2
Errol Flynn,2
Ralph Richardson,2
Jackie Cooper,2
David Strathairn,2
Ciarán Hinds,2
Keira Knightley,2
Woody Harrelson,2
Rochelle Hudson,2
Arthur Kennedy,2
Tom Berenger,2
Michael Sheen,2
Donald Woods,2
Kate Mara,2
Philip Seymour Hoffman,2
Adrien Brody,2
Charlize Theron,2
Elsa Lanchester,2
Louis Jourdan,2
Tobey Maguire,2
Viola Davis,2
Leo Genn,2
Agnes Moorehead,2
Sam Worthington,2
Robert Young,2
Richard Beymer,2
Henry Travers,2
Alan Bates,2
Richard Carlson,2
Walter Matthau,2
Walter Connolly,2
Freddie Bartholomew,2
Paul Scofield,2
John Barrymore,2
Tim Robbins,2
John Carradine,2
Barry Fitzgerald,2
Judi Dench,2
Jennifer Garner,2
Forest Whitaker,2
J.K. Simmons,2
Nicholas Hoult,2
Van Johnson,2
Karen Black,2
Grace Kelly,2
Franchot Tone,2
Jeremy Renner,2
Dev Patel,2
Jason Robards,2
Jean-Louis Trintignant,2
Ben Affleck,2
Catherine Zeta-Jones,2
"""Barbara O'Neil""",2
Harvey Keitel,2
Greta Garbo,2
Ward Bond,2
Kerry Washington,2
Glenda Farrell,2
Ken Watanabe,2
Joaquin Phoenix,2
Alice Faye,2
John Payne,2
Jessica Lange,2
Donna Reed,2
Holly Hunter,2
Bruce Willis,2
Charles Ruggles,2
Sally Eilers,2
John Malkovich,2
Michelle Williams,2
Anton Walbrook,2
James Fleet,2
Gary Oldman,2
Kevin Spacey,2
Tom Skerritt,2
Lucas Hedges,2
Broderick Crawford,2
Ned Beatty,2
Peter Finch,2
Cuba Gooding Jr.,2
Oliver Reed,2
Albert Brooks,2
Herbert Mundin,2
Ricardo Montalban,2
Kathleen Turner,2
F. Murray Abraham,2
Ian Hunter,2
Tim Holt,2
Beulah Bondi,2
Olivia Williams,2
Benedict Cumberbatch,2
Rosalind Russell,2
Jodie Foster,2
Jack Benny,2
Joe Pesci,2
Jonah Hill,2
Maggie Smith,2
Walter Brennan,2
Anthony Quayle,2
Omar Sharif,2
Elizabeth Allan,2
Clint Eastwood,2
Andrew Garfield,2
Yul Brynner,2
Scarlett Johansson,2
Chris Cooper,1
Georges Guétary,1
Albert Bassermann,1
Margaret Avery,1
Timothy Hutton,1
Gloria Stuart,1
Philip Bosco,1
Bodil Rosing,1
Kurt Fuller,1
Michael Chekhov,1
Bessie Love,1
Josef Sommer,1
Ben Johnson,1
Ron Leibman,1
Charles McGraw,1
Penelope Allen,1
Tim Allen,1
Alexandre Tharaud,1
Barkhad Abdirahman,1
Genevieve Tobin,1
Thomas Haden Church,1
Mary Brian,1
Magda Szubanski,1
Virginia Madsen,1
Alan Ladd,1
Paul Henreid,1
