,index,title,year,runtime_min,genre,metascore,gross_mil,link_movie,director,actors,link_people,Nominated,Won,country,language,release_date,color,aspect_ratio
73,74,Forspildte dage,1945,101,"['Drama', 'Film-Noir']",,9.46,https://www.imdb.com/title/tt0037884/,['Billy Wilder'],"['Ray Milland', 'Jane Wyman', 'Phillip Terry', 'Howard Da Silva']","['https://www.imdb.com//name/nm0000697/awards', 'https://www.imdb.com//name/nm0001537/awards', 'https://www.imdb.com//name/nm0943837/awards', 'https://www.imdb.com//name/nm0856062/awards', 'https://www.imdb.com//name/nm0196247/awards']",3,2,USA,English,21 April 1948, Black and White,1.37 :1
74,75,Gaar du min Vej?,1944,126,"['Comedy', 'Drama', 'Music']",,16.3,https://www.imdb.com/title/tt0036872/,['Leo McCarey'],"['Bing Crosby', 'Barry Fitzgerald', 'Frank McHugh', 'James Brown']","['https://www.imdb.com//name/nm0564970/awards', 'https://www.imdb.com//name/nm0001078/awards', 'https://www.imdb.com//name/nm0280178/awards', 'https://www.imdb.com//name/nm0570451/awards', 'https://www.imdb.com//name/nm0113769/awards']",8,4,USA,English,14 October 1946, Black and White,1.37 :1
75,76,Mrs. Miniver,1942,134,"['Drama', 'Romance', 'War']",,13.5,https://www.imdb.com/title/tt0035093/,['William Wyler'],"['Greer Garson', 'Walter Pidgeon', 'Teresa Wright', 'May Whitty']","['https://www.imdb.com//name/nm0943758/awards', 'https://www.imdb.com//name/nm0002093/awards', 'https://www.imdb.com//name/nm0682074/awards', 'https://www.imdb.com//name/nm0942863/awards', 'https://www.imdb.com//name/nm0926599/awards']",12,2,USA,English,28 February 1947, Black and White,1.37 :1
76,77,Casablanca,1942,102,"['Drama', 'Romance', 'War']",100        ,1.02,https://www.imdb.com/title/tt0034583/,['Michael Curtiz'],"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']","['https://www.imdb.com//name/nm0002031/awards', 'https://www.imdb.com//name/nm0000007/awards', 'https://www.imdb.com//name/nm0000006/awards', 'https://www.imdb.com//name/nm0002134/awards', 'https://www.imdb.com//name/nm0001647/awards']",13,5,USA,English,30 November 1946, Black and White,1.37 :1
77,78,Grøn var min barndoms dal,1941,118,"['Drama', 'Family']",,,https://www.imdb.com/title/tt0033729/,['John Ford'],"['Walter Pidgeon', ""Maureen O'Hara"", 'Anna Lee', 'Donald Crisp']","['https://www.imdb.com//name/nm0000406/awards', 'https://www.imdb.com//name/nm0682074/awards', 'https://www.imdb.com//name/nm0000058/awards', 'https://www.imdb.com//name/nm0496819/awards', 'https://www.imdb.com//name/nm0187981/awards']",4,5,USA,English,30 June 1947, Black and White,1.37 :1
78,79,Rebecca,1940,130,"['Drama', 'Mystery', 'Romance']",,4.36,https://www.imdb.com/title/tt0032976/,['Alfred Hitchcock'],"['Laurence Olivier', 'Joan Fontaine', 'George Sanders', 'Judith Anderson']","['https://www.imdb.com//name/nm0000033/awards', 'https://www.imdb.com//name/nm0000059/awards', 'https://www.imdb.com//name/nm0000021/awards', 'https://www.imdb.com//name/nm0001695/awards', 'https://www.imdb.com//name/nm0000752/awards']",3,2,USA,English,26 January 1951, Black and White,1.37 :1
79,80,Borte med blæsten,1939,238,"['Drama', 'History', 'Romance']",97        ,198.68,https://www.imdb.com/title/tt0031381/,"['Victor Fleming', 'George Cukor', 'Sam Wood']","['Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil""]","['https://www.imdb.com//name/nm0281808/awards', 'https://www.imdb.com//name/nm0002030/awards', 'https://www.imdb.com//name/nm0939992/awards', 'https://www.imdb.com//name/nm0000022/awards', 'https://www.imdb.com//name/nm0000046/awards', 'https://www.imdb.com//name/nm0593775/awards', 'https://www.imdb.com//name/nm0641966/awards']",11,6,USA,English,9 September 1958,Color,1.37 :1
80,81,Du kan ikke tage det med dig,1938,126,"['Comedy', 'Drama', 'Romance']",,4.66,https://www.imdb.com/title/tt0030993/,['Frank Capra'],"['Jean Arthur', 'James Stewart', 'Lionel Barrymore', 'Edward Arnold']","['https://www.imdb.com//name/nm0001008/awards', 'https://www.imdb.com//name/nm0000795/awards', 'https://www.imdb.com//name/nm0000071/awards', 'https://www.imdb.com//name/nm0000859/awards', 'https://www.imdb.com//name/nm0036427/awards']",5,4,USA,English,26 December 1938, Black and White,1.37 :1
81,82,Emile Zola's liv,1937,116,"['Biography', 'Drama']",,,https://www.imdb.com/title/tt0029146/,['William Dieterle'],"['Paul Muni', 'Gale Sondergaard', 'Joseph Schildkraut', 'Gloria Holden']","['https://www.imdb.com//name/nm0226189/awards', 'https://www.imdb.com//name/nm0612847/awards', 'https://www.imdb.com//name/nm0814216/awards', 'https://www.imdb.com//name/nm0771584/awards', 'https://www.imdb.com//name/nm0390192/awards']",7,3,USA,English,3 November 1937, Black and White,1.37 :1
82,83,Revykongen Ziegfeld,1936,176,"['Biography', 'Drama', 'Musical']",,,https://www.imdb.com/title/tt0027698/,['Robert Z. Leonard'],"['William Powell', 'Myrna Loy', 'Luise Rainer', 'Frank Morgan']","['https://www.imdb.com//name/nm0502752/awards', 'https://www.imdb.com//name/nm0001635/awards', 'https://www.imdb.com//name/nm0001485/awards', 'https://www.imdb.com//name/nm0707023/awards', 'https://www.imdb.com//name/nm0604656/awards']",7,2,USA,English,2 November 1936, Black and White,1.37 :1
83,84,Mytteri på Bounty,1935,132,"['Adventure', 'Biography', 'Drama']",87        ,,https://www.imdb.com/title/tt0026752/,['Frank Lloyd'],"['Charles Laughton', 'Clark Gable', 'Franchot Tone', 'Herbert Mundin']","['https://www.imdb.com//name/nm0515979/awards', 'https://www.imdb.com//name/nm0001452/awards', 'https://www.imdb.com//name/nm0000022/awards', 'https://www.imdb.com//name/nm0867144/awards', 'https://www.imdb.com//name/nm0612743/awards']",7,4,USA,English,5 March 1936, Black and White,1.37 :1
84,85,Det hændte en nat,1934,105,"['Comedy', 'Romance']",87        ,4.36,https://www.imdb.com/title/tt0025316/,['Frank Capra'],"['Clark Gable', 'Claudette Colbert', 'Walter Connolly', 'Roscoe Karns']","['https://www.imdb.com//name/nm0001008/awards', 'https://www.imdb.com//name/nm0000022/awards', 'https://www.imdb.com//name/nm0001055/awards', 'https://www.imdb.com//name/nm0175369/awards', 'https://www.imdb.com//name/nm0439850/awards']",7,5,USA,English,26 September 1934, Black and White,1.37 :1
85,86,Cavalcade,1933,112,"['Drama', 'Romance', 'War']",,7.63,https://www.imdb.com/title/tt0023876/,['Frank Lloyd'],"['Diana Wynyard', 'Clive Brook', ""Una O'Connor"", 'Herbert Mundin']","['https://www.imdb.com//name/nm0515979/awards', 'https://www.imdb.com//name/nm0944087/awards', 'https://www.imdb.com//name/nm0111612/awards', 'https://www.imdb.com//name/nm0640547/awards', 'https://www.imdb.com//name/nm0612743/awards']",3,2,USA,English,21 September 1933, Black and White,1.37 :1
86,87,Grand Hotel,1932,112,"['Drama', 'Romance']",,1.24,https://www.imdb.com/title/tt0022958/,['Edmund Goulding'],"['Greta Garbo', 'John Barrymore', 'Joan Crawford', 'Wallace Beery']","['https://www.imdb.com//name/nm0332539/awards', 'https://www.imdb.com//name/nm0001256/awards', 'https://www.imdb.com//name/nm0000858/awards', 'https://www.imdb.com//name/nm0001076/awards', 'https://www.imdb.com//name/nm0000891/awards']",3,2,USA,English,26 December 1932, Black and White,1.37 :1
87,88,Cimarron,1931,123,"['Drama', 'Western']",,,https://www.imdb.com/title/tt0021746/,['Wesley Ruggles'],"['Richard Dix', 'Irene Dunne', 'Estelle Taylor', ""Nance O'Neil""]","['https://www.imdb.com//name/nm0749484/awards', 'https://www.imdb.com//name/nm0228715/awards', 'https://www.imdb.com//name/nm0002050/awards', 'https://www.imdb.com//name/nm0852347/awards', 'https://www.imdb.com//name/nm0642042/awards']",7,0,USA,English,6 June 1933, Black and White,1.20 :1
88,89,Intet nyt fra vestfronten,1930,136,"['Drama', 'War']",91        ,3.27,https://www.imdb.com/title/tt0020629/,['Lewis Milestone'],"['Lew Ayres', 'Louis Wolheim', 'John Wray', 'Arnold Lucy']","['https://www.imdb.com//name/nm0587277/awards', 'https://www.imdb.com//name/nm0000817/awards', 'https://www.imdb.com//name/nm0938464/awards', 'https://www.imdb.com//name/nm0942046/awards', 'https://www.imdb.com//name/nm0524803/awards']",2,2,USA,English,1 August 1930, Black and White,1.33 :1
89,90,Broadways Melodi,1929,100,"['Drama', 'Musical', 'Romance']",,6.12,https://www.imdb.com/title/tt0019729/,['Harry Beaumont'],"['Bessie Love', 'Anita Page', 'Charles King', 'The Angeles Twins']","['https://www.imdb.com//name/nm0064600/awards', 'https://www.imdb.com//name/nm0522281/awards', 'https://www.imdb.com//name/nm0656105/awards', 'https://www.imdb.com//name/nm0454558/awards', 'https://www.imdb.com//name/nm4098805/awards']",2,0,USA,English,22 April 1930, Black and White,1.37 :1
90,91,Luftens helte,1927,144,"['Drama', 'Romance', 'War']",,6.59,https://www.imdb.com/title/tt0018578/,"['William A. Wellman', ""Harry d'Abbadie d'Arrast""]","['Clara Bow', ""Charles 'Buddy' Rogers"", 'Richard Arlen', 'Jobyna Ralston']","['https://www.imdb.com//name/nm0920074/awards', 'https://www.imdb.com//name/nm0195496/awards', 'https://www.imdb.com//name/nm0001966/awards', 'https://www.imdb.com//name/nm0736777/awards', 'https://www.imdb.com//name/nm0035159/awards', 'https://www.imdb.com//name/nm0707814/awards']",4,1,USA,English,7 February 1928, Black and White,1.33 :1
91,92,Solopgang,1927,94,"['Drama', 'Romance']",,,https://www.imdb.com/title/tt0018455/,['F.W. Murnau'],"[""George O'Brien"", 'Janet Gaynor', 'Margaret Livingston', 'Bodil Rosing']","['https://www.imdb.com//name/nm0003638/awards', 'https://www.imdb.com//name/nm0639563/awards', 'https://www.imdb.com//name/nm0310980/awards', 'https://www.imdb.com//name/nm0515272/awards', 'https://www.imdb.com//name/nm0743017/awards']",1,1,USA,English,17 October 1928, Black and White,1.33 :1
