,title,gross,link,year,director,actors,runtime,genre,metascore
38,Ordinary People: En ganske almindelig familie,$54.80M,https://www.imdb.com/title/tt0081283/,1980,Robert Redford,"['Donald Sutherland', 'Mary Tyler Moore', 'Judd Hirsch', 'Timothy Hutton']",124 min,['Drama'],87        
39,Kramer mod Kramer,$106.26M,https://www.imdb.com/title/tt0079417/,1979,Robert Benton,"['Dustin Hoffman', 'Meryl Streep', 'Jane Alexander', 'Justin Henry']",105 min,['Drama'],77        
40,The Deer Hunter,$48.98M,https://www.imdb.com/title/tt0077416/,1978,Michael Cimino,"['Robert De Niro', 'Christopher Walken', 'John Cazale', 'John Savage']",183 min,"['Drama', 'War']",86        
41,Mig og Annie,$39.20M,https://www.imdb.com/title/tt0075686/,1977,Woody Allen,"['Woody Allen', 'Diane Keaton', 'Tony Roberts', 'Carol Kane']",93 min,"['Comedy', 'Romance']",92        
42,Rocky,$117.24M,https://www.imdb.com/title/tt0075148/,1976,John G. Avildsen,"['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']",120 min,"['Drama', 'Sport']",70        
43,Gøgereden,$112.00M,https://www.imdb.com/title/tt0073486/,1975,Milos Forman,"['Jack Nicholson', 'Louise Fletcher', 'Will Sampson', 'Michael Berryman']",133 min,['Drama'],83        
44,Godfather del 2,$57.30M,https://www.imdb.com/title/tt0071562/,1974,Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']",202 min,"['Crime', 'Drama']",90        
45,Sidste stik,$159.60M,https://www.imdb.com/title/tt0070735/,1973,George Roy Hill,"['Paul Newman', 'Robert Redford', 'Robert Shaw', 'Charles Durning']",129 min,"['Comedy', 'Crime', 'Drama']",83        
46,Godfather,$134.97M,https://www.imdb.com/title/tt0068646/,1972,Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']",175 min,"['Crime', 'Drama']",100        
47,The French Connection,"100,531",https://www.imdb.com/title/tt0067116/,1971,William Friedkin,"['Gene Hackman', 'Roy Scheider', 'Fernando Rey', 'Tony Lo Bianco']",104 min,"['Action', 'Crime', 'Drama']",94        
48,Patton - pansergeneralen,$61.70M,https://www.imdb.com/title/tt0066206/,1970,Franklin J. Schaffner,"['George C. Scott', 'Karl Malden', 'Stephen Young', 'Michael Strong']",172 min,"['Biography', 'Drama', 'War']",91        
49,Midnight Cowboy,$44.79M,https://www.imdb.com/title/tt0064665/,1969,John Schlesinger,"['Dustin Hoffman', 'Jon Voight', 'Sylvia Miles', 'John McGiver']",113 min,['Drama'],79        
50,Oliver!,$16.80M,https://www.imdb.com/title/tt0063385/,1968,Carol Reed,"['Mark Lester', 'Ron Moody', 'Shani Wallis', 'Oliver Reed']",153 min,"['Drama', 'Family', 'Musical']",74        
51,I nattens hede,$24.38M,https://www.imdb.com/title/tt0061811/,1967,Norman Jewison,"['Sidney Poitier', 'Rod Steiger', 'Warren Oates', 'Lee Grant']",110 min,"['Crime', 'Drama', 'Mystery']",75        
52,Mand til alle tider,$28.35M,https://www.imdb.com/title/tt0060665/,1966,Fred Zinnemann,"['Paul Scofield', 'Wendy Hiller', 'Robert Shaw', 'Leo McKern']",120 min,"['Biography', 'Drama', 'History']",72        
53,The Sound of Music,$163.21M,https://www.imdb.com/title/tt0059742/,1965,Robert Wise,"['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker', 'Richard Haydn']",172 min,"['Biography', 'Drama', 'Family']",63        
54,My Fair Lady,$72.00M,https://www.imdb.com/title/tt0058385/,1964,George Cukor,"['Audrey Hepburn', 'Rex Harrison', 'Stanley Holloway', 'Wilfrid Hyde-White']",170 min,"['Drama', 'Family', 'Musical']",95        
55,My Fair Lady,$72.00M,https://www.imdb.com/title/tt0058385/,1964,George Cukor,"['Audrey Hepburn', 'Rex Harrison', 'Stanley Holloway', 'Wilfrid Hyde-White']",129 min,"['Adventure', 'Comedy', 'History']",95        
56,Lawrence af Arabien,$44.82M,https://www.imdb.com/title/tt0056172/,1962,David Lean,"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins']",216 min,"['Adventure', 'Biography', 'Drama']",100        
57,West Side Story,$43.66M,https://www.imdb.com/title/tt0055614/,1961,Jerome Robbins,"['Robert Wise', 'Natalie Wood', 'George Chakiris', 'Richard Beymer', 'Russ Tamblyn']",153 min,"['Crime', 'Drama', 'Musical']",86        
58,Nøglen under måtten,$18.60M,https://www.imdb.com/title/tt0053604/,1960,Billy Wilder,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']",125 min,"['Comedy', 'Drama', 'Romance']",94        
59,Ben-Hur,$74.70M,https://www.imdb.com/title/tt0052618/,1959,William Wyler,"['Charlton Heston', 'Jack Hawkins', 'Stephen Boyd', 'Haya Harareet']",212 min,"['Adventure', 'Drama', 'History']",90        
60,Ben-Hur,$74.70M,https://www.imdb.com/title/tt0052618/,1959,William Wyler,"['Charlton Heston', 'Jack Hawkins', 'Stephen Boyd', 'Haya Harareet']",115 min,"['Comedy', 'Musical', 'Romance']",90        
61,Broen over floden Kwai,$44.91M,https://www.imdb.com/title/tt0050212/,1957,David Lean,"['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa']",161 min,"['Adventure', 'Drama', 'War']",87        
62,Broen over floden Kwai,$44.91M,https://www.imdb.com/title/tt0050212/,1957,David Lean,"['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa']",175 min,"['Adventure', 'Comedy', 'Family']",87        
63,Broen over floden Kwai,$44.91M,https://www.imdb.com/title/tt0050212/,1957,David Lean,"['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa']",90 min,"['Drama', 'Romance']",87        
64,I storbyens havn,$9.60M,https://www.imdb.com/title/tt0047296/,1954,Elia Kazan,"['Marlon Brando', 'Karl Malden', 'Lee J. Cobb', 'Rod Steiger']",108 min,"['Crime', 'Drama', 'Thriller']",91        
65,Herfra til evigheden,$30.50M,https://www.imdb.com/title/tt0045793/,1953,Fred Zinnemann,"['Burt Lancaster', 'Montgomery Clift', 'Deborah Kerr', 'Donna Reed']",118 min,"['Drama', 'Romance', 'War']",85        
66,Herfra til evigheden,$30.50M,https://www.imdb.com/title/tt0045793/,1953,Fred Zinnemann,"['Burt Lancaster', 'Montgomery Clift', 'Deborah Kerr', 'Donna Reed']",152 min,"['Drama', 'Family', 'Romance']",85        
67,En amerikaner i Paris,$4.50M,https://www.imdb.com/title/tt0043278/,1951,Vincente Minnelli,"['Gene Kelly', 'Leslie Caron', 'Oscar Levant', 'Georges Guétary']",114 min,"['Drama', 'Musical', 'Romance']",84        
68,Alt om Eva,$0.01M,https://www.imdb.com/title/tt0042192/,1950,Joseph L. Mankiewicz,"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm']",138 min,['Drama'],98        
69,Alt om Eva,$0.01M,https://www.imdb.com/title/tt0042192/,1950,Joseph L. Mankiewicz,"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm']",110 min,"['Drama', 'Film-Noir']",98        
70,Alt om Eva,$0.01M,https://www.imdb.com/title/tt0042192/,1950,Joseph L. Mankiewicz,"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm']",154 min,['Drama'],98        
71,Alt om Eva,$0.01M,https://www.imdb.com/title/tt0042192/,1950,Joseph L. Mankiewicz,"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm']",118 min,"['Drama', 'Romance']",98        
72,De bedste år,$23.65M,https://www.imdb.com/title/tt0036868/,1946,William Wyler,"['Myrna Loy', 'Dana Andrews', 'Fredric March', 'Teresa Wright']",170 min,"['Drama', 'Romance', 'War']",92        
73,De bedste år,$23.65M,https://www.imdb.com/title/tt0036868/,1946,William Wyler,"['Myrna Loy', 'Dana Andrews', 'Fredric March', 'Teresa Wright']",101 min,"['Drama', 'Film-Noir']",92        
74,De bedste år,$23.65M,https://www.imdb.com/title/tt0036868/,1946,William Wyler,"['Myrna Loy', 'Dana Andrews', 'Fredric March', 'Teresa Wright']",126 min,"['Comedy', 'Drama', 'Music']",92        
75,De bedste år,$23.65M,https://www.imdb.com/title/tt0036868/,1946,William Wyler,"['Myrna Loy', 'Dana Andrews', 'Fredric March', 'Teresa Wright']",134 min,"['Drama', 'Romance', 'War']",92        
76,Casablanca,$1.02M,https://www.imdb.com/title/tt0034583/,1942,Michael Curtiz,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']",102 min,"['Drama', 'Romance', 'War']",100        
77,Casablanca,$1.02M,https://www.imdb.com/title/tt0034583/,1942,Michael Curtiz,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']",118 min,"['Drama', 'Family']",100        
