,count,mean,std,min,25%,50%,75%,max
Runtime (min),557.0,124.60502692998205,26.505296943279674,66.0,106.0,120.0,137.0,238.0
MetaScore,341.0,80.95601173020528,11.382693284098538,34.0,74.0,83.0,89.0,100.0
Gross ($M),381.0,73.91288713910764,92.96426646020826,0.01,18.31,44.82,100.32,760.51
Cumulative Nominations for Actors/Director,557.0,7.346499102333932,5.33148070076963,0.0,3.0,7.0,10.0,36.0
Cumulative Oscars for Actors/Directors,557.0,2.481149012567325,1.9112747942841988,0.0,1.0,2.0,4.0,9.0
Budget ($),417.0,21078764.774580337,33844305.12072863,60.0,2000000.0,8200000.0,25000000.0,237000000.0
Cumulative Worldwide Gross ($),348.0,160381301.4454023,264934516.4608043,576.0,26114616.5,75430543.5,205933054.75,2789968301.0
